ACTIVITY QUARTAL IV - INFRASTRUCTURE ENGINEER									
									
									
									Done
					Onsite				Progress
					Remote				Hold
ACTIVITY QUARTAL - 4	No	CLIENT	SERVICE	CASE & ISSUE	ACTION	DATE	PIC TIM	DETAIL ACTION	STATUS
									
									
	25	Draco Coffee and Etery	Internet	Troubleshoot		21 oktober 2025	 Samudra, Roy 	troubleshoot draco and etery 22 oktober 2025  Issue : tidak bisa dapat internet  Action : cek kabel di odp yang terjepit yang mengakibatkan redaman tinggi dan sudah solve	
	26	Annora Villas Seminyak	internet	Troubleshoot		16 Oktober 2025	Wawan, Jony	Troubleshoot FO CUT Annora Villa   Issue : FO Cut 25M dari Server Annora dalam sambungan OTP Action : Sambung Ulang core yang putus 	
	27	POP JIMBARAN	internet	Instalasi		16 Oktober 2025	Wawan	Penarikan Kabel ke arah POP Jimbaran oleh Vendor CGS	
						17 Oktober 2025		Aktivasi Perangkat CGS di POP Jimbaran	
	28	Pramana Giri Kusuma	Internet	Troubleshoot		19 Oktober 2025	Wawan, Angga	-Troubleshoot FO Cut Pramana Giri Kusuma Issue : FO Cut 120M dari Server  Action : Penarikan ulang kabel 200m dan penambahan 2 unit OTP	
	29	Lyvin Melasti	Internet	Survey		21 Oktober 2025	Wawan	-Survey Kebutuhan FO Backup Lyvin Melasti bersama Vendor	
	30	Murni Teguh Hospital Tuban	Internet	Survey		23 Oktober 2025	Wawan	-Survey Kebutuhan FO Lastmile Murni Teguh Hospital Tuban	
	31	Abian Taksu By Jeevawasa	Internet	Survey		24 Oktober 2025	Wawan	-Survey Kebutuhan FO Backup Abian Taksu bersama iForte	
				Instalasi		28 Oktober 2025	Wawan	-Supervisi instalasi link backup Vendor iForte  	
	32	Rhea Hotels & Villas Management  Office	Internet	Survey		27 Oktober 2025	Joni	-Survey internet bandwidth	
	33	Faithfull	WAAS	Instalasi		27 Oktober 2025	Gilang, Samudra	- Tarik kabel LAN ke Arah Gudang	
			Internet	Instalasi		29 Oktober 2025	Gilang	- Supervisi Reposisi Kabel FO yang sebelumnya di tengah ruangan dipindahkan ke Gudang	
			Internet	Instalasi		01 Desember 2025	Jody	- Pemasangan AP di ceiling	
	34	Body Factory Lifestyle Residence	Internet	Instalasi		27 Oktober 2025	Azlan	- Survey Jalur FO bersama Tim CGS	
						28 Oktober 2025	Azlan	Technical Meeting bersama klien dengan hasil: - varnion hanya untuk mainlink (bandwidth only)  - Router dan konfigurasi di provide oleh klien - Panthouse 1 dan panthouse 2 tetap menggunakan ap inwall dari varnion, req dari klien agar kedua ap inwall tersebut masuk ke cloud milik klien.  - managed waas akan dilaksanakan oleh klien.  - ip publik dari varnion sesuai dengan tm bersama tim technical support sebelumnya - jalur fo mengikuti survey sebelumnya dan sudah disampaikan ke tim CGS	
	35	Saka Agung  Abadi Tabanan	Internet	Survey		28 Oktober 2025	Jody	- Survey FO	
			Internet	Instalasi 		03 November 2025	Jody	- Aktivasi link internet (pemasangan RB PTP) - Tanda tangan BA dan TTB	
	36	Prime Plaza Sanur	Internet	Maintenance		27 Oktober 2025	Wawan	- Pergantian 1 Unit MC yg Error di sisi server	
